eST	ftsH	mba-np1	rpL22	thrS	ureG	valS	clonal_complex
1	1	1	1	1	1	1	
2	2	2	1	1	2	1	
3	1	2	1	2	3	1	
4	2	2	2	1	2	1	
5	3	3	3	3	4	2	
6	4	4	3	4	5	3	
7	5	5	3	5	5	4	
8	5	6	4	5	5	4	
9	5	6	3	5	5	4	
10	4	7	3	4	5	4	
11	6	8	3	4	5	5	
12	5	6	3	6	5	4	
13	4	9	3	4	5	4	
14	7	10	3	4	5	4	
15	1	2	1	1	1	1	
16	1	1	1	1	2	1	
17	1	2	1	1	2	1	
18	1	13	1	1	2	1	
19	1	14	1	1	2	1	
20	1	2	1	2	2	1	
21	1	22	1	1	2	1	
22	1	33	1	1	2	1	
23	1	10	1	1	3	1	
24	1	1	1	1	8	1	
25	1	1	1	8	2	1	
26	1	2	1	8	2	1	
27	1	2	1	9	2	1	
28	1	1	1	12	2	1	
29	1	1	1	13	2	1	
30	1	1	1	16	2	1	
31	1	1	1	1	2	6	
32	1	7	1	1	2	9	
33	1	7	1	1	1	10	
34	1	1	1	1	2	14	
35	1	1	2	1	1	1	
36	1	2	2	1	1	1	
37	1	1	2	1	2	1	
38	1	2	2	1	2	1	
39	1	7	2	1	2	1	
40	1	1	2	1	3	1	
41	1	2	2	1	3	1	
42	1	6	2	1	3	1	
43	1	7	2	1	3	1	
44	1	10	2	1	3	1	
45	1	12	2	1	3	1	
46	1	15	2	1	3	1	
47	1	16	2	1	3	1	
48	1	17	2	1	3	1	
49	1	2	1	1	15	1	
50	1	2	2	12	3	1	
51	1	6	2	1	3	6	
52	1	1	2	1	3	8	
53	1	2	2	1	3	12	
54	1	2	2	1	3	15	
55	1	2	2	1	9	17	
56	1	29	3	4	5	4	
57	1	6	3	5	5	4	
58	1	6	3	11	5	4	
59	1	10	3	11	5	4	
60	1	30	3	11	5	4	
61	1	10	3	11	5	13	
62	1	10	3	11	5	16	
63	1	1	5	1	2	1	
64	1	2	5	1	2	1	
65	1	2	6	1	3	1	
66	1	2	7	1	3	1	
67	1	2	10	1	2	6	
68	2	1	1	1	1	1	
69	2	2	1	1	1	1	
70	2	1	1	1	2	1	
71	2	26	1	2	2	1	
72	2	12	1	7	7	1	
73	2	1	1	8	2	1	
74	2	2	1	8	2	1	
75	2	12	1	8	2	1	
76	2	1	2	1	2	1	
77	2	1	2	1	3	1	
78	2	2	2	1	3	1	
79	2	6	3	4	5	4	
80	4	2	1	1	2	9	
81	4	2	2	1	3	1	
82	4	6	3	4	5	4	
83	4	11	3	4	5	4	
84	4	21	3	4	5	4	
85	4	34	3	4	5	19	
86	5	2	1	2	3	1	
87	5	2	2	1	3	1	
88	5	20	2	1	3	1	
89	5	7	3	4	5	4	
90	5	6	3	11	5	4	
91	6	1	1	1	1	1	
92	6	2	2	1	3	1	
93	6	32	2	1	3	18	
94	6	1	3	4	5	4	
95	6	6	3	5	5	4	
96	6	2	3	11	5	4	
97	6	10	3	11	5	4	
98	6	28	8	1	3	1	
99	8	2	1	1	1	1	
100	8	12	1	1	1	1	
101	8	1	1	1	6	1	
102	8	2	1	8	2	1	
103	9	2	1	1	2	1	
104	10	2	1	1	1	1	
105	10	18	2	1	3	1	
106	10	1	3	10	5	7	
107	11	1	1	8	2	4	
108	11	2	2	1	3	1	
109	11	10	3	11	5	4	
110	11	12	3	11	5	4	
111	12	2	1	1	2	1	
112	13	2	1	2	3	1	
113	13	7	1	1	2	9	
114	14	1	1	1	1	1	
115	15	25	1	1	1	1	
116	15	2	1	2	2	1	
117	15	2	2	1	3	1	
118	16	2	2	1	2	1	
119	17	2	2	1	3	1	
120	18	24	1	1	1	1	
121	19	2	1	8	2	11	
122	20	27	1	1	2	1	
123	21	2	2	1	3	1	
124	22	10	3	4	5	4	
125	23	1	1	1	1	1	
126	23	2	1	1	2	1	
127	23	2	1	8	2	1	
128	23	2	2	1	3	1	
129	24	2	1	14	1	1	
130	25	1	1	1	2	1	
131	26	2	1	1	1	1	
132	27	1	1	1	2	1	
133	28	1	1	1	2	1	
134	29	1	1	1	2	1	
135	29	2	2	1	3	1	
136	30	2	8	8	3	1	
137	31	2	1	15	2	1	
138	31	2	2	1	3	1	
139	32	1	1	1	2	1	
140	33	31	1	1	2	1	
141	34	2	1	1	1	1	
142	35	2	1	1	2	1	
143	36	35	9	17	10	20	
144	37	2	2	1	3	1	
145	38	14	1	1	2	21	
146	39	14	8	1	3	1	
147	6	6	3	4	5	4	
148	1	42	1	1	2	1	
149	1	1	1	12	1	1	
150	1	1	1	21	2	1	
151	1	41	2	1	3	1	
152	1	2	2	1	12	1	
153	1	1	17	1	2	1	
154	2	14	1	1	2	1	
155	2	36	1	1	2	1	
156	2	14	1	2	2	1	
157	2	2	1	19	2	1	
158	2	7	1	23	2	1	
159	2	7	1	1	2	9	
160	2	38	1	1	2	9	
161	2	7	1	4	2	25	
162	4	10	3	4	5	4	
163	4	29	3	4	5	4	
164	4	37	3	11	5	4	
165	4	39	3	1	5	4	
166	4	29	16	11	5	2	
167	5	6	3	4	5	4	
168	6	6	3	11	5	4	
169	6	10	3	11	11	4	
170	6	6	3	20	5	4	
171	6	6	3	11	5	26	
172	8	1	1	1	1	1	
173	11	40	3	11	5	4	
174	15	2	1	1	1	1	
175	43	1	3	4	5	4	
176	44	6	3	22	5	4	
177	45	10	3	11	5	4	
178	46	2	2	1	3	1	
179	42	4	3	4	5	4	
180	42	29	3	4	5	4	
181	42	29	3	18	5	4	
182	47	2	15	1	2	1	
183	48	6	3	4	5	4	
184	49	29	3	4	5	4	
185	50	6	3	11	5	4	
186	1	45	1	1	2	1	
187	1	47	1	2	3	1	
188	1	1	1	1	2	27	
189	1	6	3	4	5	4	
190	1	2	21	1	3	1	
191	2	2	1	2	2	1	
192	2	7	1	2	2	1	
193	2	44	1	2	2	1	
194	2	48	1	2	2	1	
195	2	2	1	15	2	1	
196	2	2	1	25	2	1	
197	2	7	1	26	2	1	
198	4	1	1	1	2	1	
199	4	29	19	4	5	4	
200	6	10	3	4	5	4	
201	6	6	20	4	5	4	
202	8	46	1	1	2	1	
203	9	1	18	1	1	1	
204	11	43	3	11	5	4	
205	35	2	1	24	13	1	
206	42	29	3	18	5	2	
207	42	39	3	18	5	2	
208	42	6	3	4	5	4	
209	52	2	2	1	3	1	
210	53	42	1	1	14	1	
211	54	2	1	1	1	1	
212	55	10	3	11	5	4	
213	1	2	1	2	2	31	
214	1	53	1	2	3	1	
215	1	52	2	1	3	1	
216	1	1	23	1	2	1	
217	2	2	1	1	2	9	
218	4	6	3	1	2	1	
219	4	37	3	4	5	4	
220	5	51	3	5	5	4	
221	8	46	22	1	2	1	
222	9	1	1	1	1	1	
223	9	50	1	1	1	28	
224	35	2	1	1	3	1	
225	1	2	1	1	3	1	
226	2	49	1	2	2	1	
227	2	49	3	2	2	1	
228	6	29	3	11	5	2	
229	6	29	3	27	5	2	
