pST	p_dnaE	p_gyrB	p_recA	p_dtdS	p_pntA	p_pyrC	p_tnaA
1	1	1	1	1	1	1	1
2	2	1	1	1	1	1	1
3	1	1	1	1	1	2	1
4	1	1	1	1	1	3	1
5	2	1	1	1	1	2	1
6	1	1	1	1	1	1	2
7	2	1	1	1	1	3	1
8	1	1	1	1	1	1	3
9	1	1	1	1	2	1	1
10	1	1	1	1	1	5	1
11	1	1	1	1	1	4	1
12	1	1	1	1	1	8	1
13	1	1	1	1	4	1	1
14	2	1	1	1	4	1	1
15	1	1	1	1	1	6	1
16	1	1	1	1	1	10	1
17	1	1	1	1	1	12	1
18	1	1	1	1	3	1	1
19	2	1	1	1	1	7	1
20	2	1	1	1	2	3	1
21	2	1	1	1	3	2	1
22	2	1	1	1	6	1	1
23	1	1	1	1	1	9	1
24	1	1	1	1	3	2	1
25	1	1	1	1	7	1	1
26	2	1	1	1	1	1	4
27	2	1	1	1	1	6	1
28	2	1	1	1	1	11	1
29	2	1	1	1	1	14	1
30	2	1	1	1	5	1	5
31	3	1	1	1	1	1	1
32	5	1	1	1	1	1	1
33	6	1	1	1	1	1	1
34	7	1	1	1	1	13	1
35	1	1	1	1	1	1	6
36	1	1	1	1	1	1	9
37	1	1	1	1	1	1	11
38	1	1	1	1	1	1	12
39	1	1	1	1	1	1	20
40	1	1	1	1	1	1	23
41	1	1	1	1	1	1	25
42	1	1	1	1	1	2	2
43	1	1	1	1	1	2	3
44	1	1	1	1	1	2	16
45	1	1	1	1	1	3	8
46	1	1	1	1	1	7	1
47	1	1	1	1	1	11	1
48	1	1	1	1	1	13	1
49	1	1	1	1	1	15	1
50	1	1	1	1	1	16	1
51	1	1	1	1	1	17	4
52	1	1	1	1	1	17	22
53	1	1	1	1	1	20	1
54	1	1	1	1	1	21	1
55	1	1	1	1	1	27	2
56	1	1	1	1	1	30	1
57	1	1	1	1	1	31	1
58	1	1	1	1	1	33	1
59	1	1	1	1	1	34	1
60	1	1	1	1	1	36	1
61	1	1	1	1	2	1	14
62	1	1	1	1	2	2	1
63	1	1	1	1	2	3	17
64	1	1	1	1	2	9	1
65	1	1	1	1	8	3	1
66	1	1	1	1	9	1	1
67	1	1	1	1	11	1	1
68	1	1	1	1	12	1	1
69	1	1	1	1	13	1	1
70	1	1	1	1	19	2	1
71	1	1	1	1	20	1	1
72	1	1	1	1	21	1	1
73	1	1	1	1	23	1	1
74	1	1	1	1	24	1	1
75	1	1	1	1	26	2	2
76	1	1	1	1	28	2	1
77	1	1	1	1	29	32	1
78	1	1	1	1	30	1	1
79	1	1	1	1	35	3	24
80	1	1	1	2	1	1	1
81	1	1	1	4	1	1	3
82	1	1	1	5	1	1	1
83	1	1	1	6	1	1	1
84	1	1	1	7	1	1	1
85	1	1	1	9	1	1	1
86	1	1	4	1	1	1	1
87	1	1	5	1	1	1	2
88	1	1	6	1	3	1	1
89	1	1	8	1	9	1	1
90	1	1	9	1	1	1	1
91	1	4	1	1	1	2	7
92	1	6	1	1	16	24	1
93	2	1	1	1	1	1	2
94	2	1	1	1	1	1	5
95	2	1	1	1	1	1	6
96	2	1	1	1	1	1	9
97	2	1	1	1	1	1	15
98	2	1	1	1	1	1	18
99	2	1	1	1	1	1	19
100	2	1	1	1	1	1	21
101	2	1	1	1	1	2	2
102	2	1	1	1	1	2	6
103	2	1	1	1	1	2	8
104	2	1	1	1	1	3	7
105	2	1	1	1	1	4	1
106	2	1	1	1	1	9	1
107	2	1	1	1	1	10	1
108	2	1	1	1	1	15	1
109	2	1	1	1	1	16	1
110	2	1	1	1	1	22	1
111	2	1	1	1	1	23	1
112	2	1	1	1	1	25	1
113	2	1	1	1	1	28	1
114	2	1	1	1	1	29	1
115	2	1	1	1	1	35	1
116	2	1	1	1	1	38	1
117	2	1	1	1	1	39	1
118	2	1	1	1	1	40	1
119	2	1	1	1	1	41	1
120	2	1	1	1	2	1	1
121	2	1	1	1	2	1	2
122	2	1	1	1	2	1	10
123	2	1	1	1	2	2	1
124	2	1	1	1	4	3	1
125	2	1	1	1	5	1	1
126	2	1	1	1	8	37	1
127	2	1	1	1	10	1	1
128	2	1	1	1	14	1	1
129	2	1	1	1	15	1	1
130	2	1	1	1	17	1	4
131	2	1	1	1	22	1	1
132	2	1	1	1	25	1	1
133	2	1	1	1	27	1	1
134	2	1	1	1	32	1	1
135	2	1	1	1	33	1	1
136	2	1	1	1	34	1	1
137	2	1	1	2	1	1	1
138	2	1	1	3	1	18	1
139	2	1	1	8	1	1	1
140	2	1	2	1	1	1	1
141	2	1	3	1	1	1	1
142	2	1	7	1	31	14	1
143	2	2	1	1	1	1	1
144	2	2	1	1	1	4	1
145	2	3	1	1	1	1	1
146	2	3	1	1	1	6	1
147	2	5	1	1	18	7	1
148	2	7	1	1	1	1	13
149	3	1	1	1	1	5	1
150	3	1	2	1	1	1	1
151	4	1	1	1	1	1	1
152	4	1	1	1	1	6	1
153	4	1	1	1	1	19	2
154	4	1	1	1	1	26	1
155	5	1	1	1	1	2	1
156	5	1	1	1	1	4	1
157	8	1	1	1	1	1	1
158	9	1	1	1	1	1	1
159	10	1	1	1	1	1	1
160	11	1	1	1	1	3	1
161	12	1	1	1	1	3	1
